geo,year,gap,flag
IT,2014,6.1,
IT,2015,5.5,p
IT,2016,5.3,p
IT,2017,5,p
IT,2018,5.5,
IT,2019,4.6,
IT,2020,4,
IT,2021,4.7,
IT,2022,3.8,
IT,2023,2.2,p
IT,2024,5.3,p
LT,2007,22.6,
LT,2008,21.6,
LT,2009,15.3,
LT,2010,11.9,b
LT,2011,11.5,
LT,2012,11.9,
LT,2013,12.2,
LT,2014,13.3,
LT,2015,14.2,
LT,2016,14.4,
LT,2017,15.2,
LT,2018,14,
LT,2019,12.9,
LT,2020,12.3,
LT,2021,10.9,
LT,2022,10.5,
LT,2023,11.5,p
LT,2024,10,p
LU,2007,10.2,
LU,2008,9.7,
LU,2009,9.2,
LU,2010,8.7,
LU,2011,7.9,
LU,2012,7,
LU,2013,6.2,
LU,2014,5.4,
LU,2015,4.7,
LU,2016,3.9,
LU,2017,2.6,
LU,2018,1.4,
LU,2019,0.9,
LU,2020,0.3,
LU,2021,-0.2,
LU,2022,-0.7,
LU,2023,-0.9,p
LU,2024,-0.8,p
LV,2007,13.6,
LV,2008,11.8,
LV,2009,13.1,
LV,2010,15.5,
LV,2011,14.1,
LV,2012,14.9,
LV,2013,16,
LV,2014,17.3,
LV,2015,18.4,
LV,2016,19.7,
LV,2017,19.8,
LV,2018,19.6,
LV,2019,21.6,
LV,2020,23.2,
LV,2021,15.9,
LV,2022,18.9,
LV,2023,16.4,p
LV,2024,13.9,p
MT,2007,7.8,
MT,2008,9.2,
MT,2009,7.7,
MT,2010,7.2,
MT,2011,7.7,
MT,2012,9.5,
MT,2013,9.7,
MT,2014,10.6,
MT,2015,10.7,
MT,2016,11.6,
MT,2017,13.2,
MT,2018,13,
MT,2019,10.5,
MT,2020,7.9,
MT,2021,7.2,
MT,2022,5.8,
MT,2023,5.1,p
MT,2024,4.9,p
NL,2007,19.3,
NL,2008,18.9,
NL,2009,18.5,
NL,2010,17.8,
NL,2011,18.8,
NL,2012,18,
NL,2013,17.2,
NL,2014,17,
NL,2015,16.1,
NL,2016,15.6,
NL,2017,15.1,
NL,2018,14.7,
NL,2019,14.9,
NL,2020,14.7,
NL,2021,14.3,
NL,2022,14,
NL,2023,12.5,p
NL,2024,11.2,p
PL,2007,14.9,
PL,2008,11.4,
PL,2009,8,
PL,2010,4.5,
PL,2011,5.5,
PL,2012,6.4,
PL,2013,7.1,
PL,2014,7.7,
PL,2015,7.3,
PL,2016,7.1,
PL,2017,7,
PL,2018,8.5,
PL,2019,6.5,
PL,2020,4.5,
PL,2021,6.2,
PL,2022,7.8,
PL,2023,5.9,
PL,2024,4,
PT,2007,8.5,
PT,2008,9.2,
PT,2009,10,
PT,2010,12.8,
PT,2011,12.9,
PT,2012,15,
PT,2013,13.3,
PT,2014,14.9,
PT,2015,16,
PT,2016,13.9,
PT,2017,10.8,
PT,2018,8.9,
PT,2019,9.4,
PT,2020,8.3,
PT,2021,7.1,
PT,2022,6.3,
PT,2023,8.6,p
PT,2024,7,p
RO,2007,12.5,d
RO,2008,8.5,d
RO,2009,7.4,d
RO,2010,8.8,
RO,2011,9.6,
RO,2012,6.9,
RO,2013,4.9,
RO,2014,4.5,
RO,2015,5.6,e
RO,2016,4.8,e
RO,2017,2.9,e
RO,2018,2.2,
RO,2019,2.6,
RO,2020,0.9,
RO,2021,1.4,
RO,2022,1.5,
RO,2023,3.8,e
RO,2024,3.7,e
SE,2007,17.8,
SE,2008,16.9,
SE,2009,15.7,
SE,2010,15.4,
SE,2011,15.6,
SE,2012,15.5,
SE,2013,14.6,
SE,2014,13.8,
SE,2015,14,
SE,2016,13.3,
SE,2017,12.5,
SE,2018,12.1,
SE,2019,11.1,
SE,2020,10.5,
SE,2021,10.3,
SE,2022,10.4,
SE,2023,11.2,p
SE,2024,11.2,p
SI,2007,5,
SI,2008,4.1,
SI,2009,-0.9,
SI,2010,0.9,
SI,2011,3.3,
SI,2012,4.5,
SI,2013,6.3,
SI,2014,7,
SI,2015,8.2,
SI,2016,8.1,
SI,2017,8.4,
SI,2018,9.3,
SI,2019,7.5,
SI,2020,2.4,
SI,2021,2.7,
SI,2022,6.8,
SI,2023,6,bp
SI,2024,8,p
SK,2007,23.6,
SK,2008,20.9,
SK,2009,21.9,
SK,2010,19.6,
SK,2011,20.1,
SK,2012,20.8,
SK,2013,18.8,
SK,2014,19.7,
SK,2015,19.7,
SK,2016,19.2,
SK,2017,20.1,
SK,2018,19.8,
SK,2019,18.2,
SK,2020,15.4,
SK,2021,16,
SK,2022,16.8,
SK,2023,15.7,p
SK,2024,15.7,p
