geo,nace,year,gap,flag
LU,E,2024,4.9,p
LU,F,2024,-11.8,p
LU,G,2024,15.7,p
LU,H,2024,7,p
LU,I,2024,10.2,p
LU,J,2024,14.4,p
LU,K,2024,18.6,p
LU,L,2024,11.5,p
LU,M,2024,19.2,p
LU,N,2024,8.9,p
LU,P,2024,-6.4,p
LU,Q,2024,-0.6,p
LU,R,2024,-2.2,p
LU,S,2024,11.9,p
LV,B,2024,8.3,p
LV,C,2024,20.7,p
LV,D,2024,11.7,p
LV,E,2024,9.7,p
LV,F,2024,10.4,p
LV,G,2024,21.1,p
LV,H,2024,5.6,p
LV,I,2024,18.7,p
LV,J,2024,24.8,p
LV,K,2024,29.5,p
LV,L,2024,4,p
LV,M,2024,16.4,p
LV,N,2024,5.3,p
LV,P,2024,6.5,p
LV,Q,2024,30.7,p
LV,R,2024,33.1,p
LV,S,2024,12.5,p
MT,B,2024,-4,u
MT,C,2024,13.9,p
MT,D,2024,,
MT,E,2024,,
MT,F,2024,-17.2,p
MT,G,2024,4.8,p
MT,H,2024,10.6,p
MT,I,2024,4.8,p
MT,J,2024,18.7,p
MT,K,2024,15.4,p
MT,L,2024,17.4,u
MT,M,2024,7.6,p
MT,N,2024,2.5,p
MT,P,2024,15.4,p
MT,Q,2024,8.8,p
MT,R,2024,5.7,p
MT,S,2024,-2.6,p
NL,B,2024,14.2,p
NL,C,2024,13.4,p
NL,D,2024,8.9,p
NL,E,2024,0.2,p
NL,F,2024,6.7,p
NL,G,2024,20,p
NL,H,2024,9.6,p
NL,I,2024,9.2,p
NL,J,2024,13,p
NL,K,2024,21.8,p
NL,L,2024,12.9,p
NL,M,2024,16.2,p
NL,N,2024,7.6,p
NL,P,2024,3.8,p
NL,Q,2024,16.4,p
NL,R,2024,16.9,p
NL,S,2024,10.1,p
PL,B,2024,16.3,
PL,C,2024,13.9,
PL,D,2024,1.9,
PL,E,2024,-4.6,
PL,F,2024,-10.5,
PL,G,2024,19.9,
PL,H,2024,6.6,
PL,I,2024,8,
PL,J,2024,24,
PL,K,2024,28.6,
PL,L,2024,9.3,
PL,M,2024,16.2,
PL,N,2024,1.5,
PL,P,2024,7.8,
PL,Q,2024,12.2,
PL,R,2024,7.5,
PL,S,2024,19.2,
PT,B,2024,-18.3,p
PT,C,2024,19.8,p
PT,D,2024,2.6,p
PT,E,2024,-11.3,p
PT,F,2024,-14.7,p
PT,G,2024,11.1,p
PT,H,2024,-1.9,p
PT,I,2024,8.6,p
PT,J,2024,16.7,p
PT,K,2024,20.1,p
PT,L,2024,13.5,p
PT,M,2024,15,p
PT,N,2024,5.5,p
PT,P,2024,11.3,p
PT,Q,2024,29.6,p
PT,R,2024,48.5,p
PT,S,2024,16.2,p
RO,B,2024,-3.4,e
RO,C,2024,18.3,e
RO,D,2024,2.4,e
RO,E,2024,2.2,e
RO,F,2024,-11,e
RO,G,2024,14,e
RO,H,2024,1.3,e
RO,I,2024,4.3,e
RO,J,2024,17.6,e
RO,K,2024,30.9,e
RO,L,2024,10.7,e
RO,M,2024,0.7,e
RO,N,2024,-18.1,e
RO,P,2024,0.6,e
RO,Q,2024,9,e
RO,R,2024,9.9,e
RO,S,2024,15.6,e
SE,B,2024,2.3,p
SE,C,2024,2,p
SE,D,2024,3.2,p
SE,E,2024,-5.8,p
SE,F,2024,-1.1,p
SE,G,2024,11.3,p
SE,H,2024,-2.4,p
SE,I,2024,5.8,p
SE,J,2024,10,p
SE,K,2024,21.1,p
SE,L,2024,3.3,p
SE,M,2024,9.2,p
SE,N,2024,5.7,p
SE,P,2024,7,p
SE,Q,2024,6.6,p
SE,R,2024,7.1,p
SE,S,2024,4.4,p
SI,B,2024,14,p
SI,C,2024,11.5,p
SI,D,2024,2.8,p
SI,E,2024,-12.6,p
SI,F,2024,-13.7,p
SI,G,2024,14,p
SI,H,2024,-9.2,p
SI,I,2024,6.4,p
SI,J,2024,18.1,p
SI,K,2024,24.5,p
SI,L,2024,10.5,p
SI,M,2024,11.2,p
SI,N,2024,14.1,p
SI,P,2024,11,p
SI,Q,2024,17.4,p
SI,R,2024,5.7,p
SI,S,2024,10.9,p
SK,B,2024,10.2,p
SK,C,2024,23.3,p
SK,D,2024,13.2,p
SK,E,2024,-1.8,p
SK,F,2024,4.7,p
SK,G,2024,22.2,p
SK,H,2024,5,p
SK,I,2024,9.4,p
SK,J,2024,26.7,p
SK,K,2024,28.6,p
SK,L,2024,9.7,p
SK,M,2024,12.5,p
SK,N,2024,3.2,p
SK,P,2024,13.8,p
SK,Q,2024,24.3,p
SK,R,2024,16.6,p
SK,S,2024,-2.1,p
